,num_rooms,num_ratings,avg_rating,name
50365483,2.0,7.0,2.5,Alistair
50658794,1.0,9.0,4.5,Carla
50885662,9.0,11.0,0.944444444444,Joan
51244413,1.0,26.0,4.0,Saadi
53167486,2.0,7.0,2.5,Maria Isabel
53576332,1.0,4.0,5.0,Dirk
54165641,2.0,52.0,5.0,Biel
54219458,2.0,52.0,4.5,Gap
55154860,2.0,18.0,4.5,Gonzalo
55404379,2.0,55.0,5.0,Enrique
56564981,2.0,25.0,4.25,Gilles
56698940,1.0,36.0,5.0,Lina
56825428,3.0,30.0,4.83333333333,Pekele
57110444,6.0,8.0,0.833333333333,Mallorca Sweet Homes
57290949,1.0,29.0,5.0,Doris
57734241,1.0,7.0,4.0,Wolfgang (Norma)
57862549,1.0,9.0,5.0,Sabrina
58133837,1.0,17.0,5.0,Alicia
58287199,1.0,39.0,4.5,Pua
59335283,1.0,3.0,5.0,Tulay
60031266,1.0,16.0,5.0,Hernán
60768742,1.0,36.0,4.5,Jose & Betty
60886263,1.0,0.0,0.0,Jaime
61036627,1.0,0.0,0.0,Ana
61491237,1.0,64.0,5.0,Margaret
62365923,1.0,33.0,4.5,Didier
62742842,1.0,36.0,5.0,Alejandro
63404831,1.0,52.0,4.5,Lidia
63769150,1.0,21.0,5.0,Magdalena
63855357,1.0,14.0,4.5,Angela
63998646,3.0,44.0,4.5,Angelica
64429966,1.0,41.0,5.0,Bartolome
64611450,1.0,16.0,5.0,Maya
64630153,1.0,9.0,4.5,Joana Maria
64736609,1.0,44.0,5.0,Marina
65308655,2.0,26.0,2.5,Rafael
65386319,1.0,0.0,0.0,Pilar
65499743,1.0,21.0,5.0,Jesús
65566895,1.0,6.0,4.5,Sarah
65638630,2.0,15.0,2.5,Daniela
65697804,20.0,8.0,0.0,Ideal Property Mallorca
66302631,1.0,0.0,0.0,Yaima
66480183,1.0,22.0,4.5,Charo& Pepe
66680866,11.0,205.0,4.40909090909,Eugenio
